% Dados das linhas de transmissao do sistema


%  Circuito   De   Para   R(pu)   X(pu)   SUCsh    TAP    DEF(°)   L/D
% +--------+ +--+ +----+ +-----+ +-----+ +-----+ +-----+ +------+ +---+
      1,      01,   02,   0.04,   0.20,   0.00,   1.00,    0.00,    1;
      2,      01,   04,   0.04,   0.20,   0.00,   1.00,    0.00,    1;
      3,      01,   05,   0.06,   0.30,   0.00,   1.00,    0.00,    1;
      4,      02,   03,   0.05,   0.25,   0.00,   1.00,    0.00,    1;
      5,      02,   04,   0.02,   0.10,   0.00,   1.00,    0.00,    1;
      6,      02,   05,   0.06,   0.30,   0.00,   1.00,    0.00,    1;
      7,      02,   06,   0.04,   0.20,   0.00,   1.00,    0.00,    1;
      8,      03,   05,   0.05,   0.26,   0.00,   1.00,    0.00,    1;
      9,      03,   06,   0.02,   0.10,   0.00,   1.00,    0.00,    1;
     10,      04,   05,   0.08,   0.40,   0.00,   1.00,    0.00,    1;
     11,      05,   06,   0.06,   0.30,   0.00,   1.00,    0.00,    1;
